2025-07-28 23:10:43,418 |    INFO | __main__ | 🔖  Logging to logs/whisper_tiny_cv_fully_synthetic_nl_20250728_231043.log
2025-07-28 23:10:43,627 |    INFO | root | Using device: cuda
2025-07-28 23:10:43,627 |    INFO | root | Using model: yuriyvnv/whisper-tiny-cv-fully-synthetic-nl
2025-07-28 23:10:43,627 |    INFO | root | Loading model... 🎯
2025-07-28 23:10:46,160 |    INFO | root | Using device: cuda 💻
2025-07-28 23:10:46,160 |    INFO | root | Loading Common Voice 17.0 dataset... 📊
2025-07-28 23:10:46,458 |   ERROR | root | README.md:   0%|          | 0.00/12.7k [00:00<?, ?B/s]
2025-07-28 23:11:11,362 |   ERROR | root | nl_other_0.tar: 100%|##########| 83.8M/83.8M [00:00<00:00, 90.7MB/s]
2025-07-28 23:11:11,584 |   ERROR | root | nl_invalidated_0.tar:   0%|          | 0.00/189M [00:00<?, ?B/s]
2025-07-28 23:11:11,711 |   ERROR | root | nl_invalidated_0.tar:   6%|5         | 10.5M/189M [00:00<00:02, 83.0MB/s]
2025-07-28 23:11:11,835 |   ERROR | root | nl_invalidated_0.tar:  11%|#1        | 21.0M/189M [00:00<00:02, 83.9MB/s]
2025-07-28 23:11:11,942 |   ERROR | root | nl_invalidated_0.tar:  17%|#6        | 31.5M/189M [00:00<00:01, 89.8MB/s]
2025-07-28 23:11:12,051 |   ERROR | root | nl_invalidated_0.tar:  22%|##2       | 41.9M/189M [00:00<00:01, 92.1MB/s]
2025-07-28 23:11:12,158 |   ERROR | root | nl_invalidated_0.tar:  28%|##7       | 52.4M/189M [00:00<00:01, 94.0MB/s]
2025-07-28 23:11:12,268 |   ERROR | root | nl_invalidated_0.tar:  33%|###3      | 62.9M/189M [00:00<00:01, 94.6MB/s]
2025-07-28 23:11:12,375 |   ERROR | root | nl_invalidated_0.tar:  39%|###8      | 73.4M/189M [00:00<00:01, 95.6MB/s]
2025-07-28 23:11:12,485 |   ERROR | root | nl_invalidated_0.tar:  44%|####4     | 83.9M/189M [00:00<00:01, 95.6MB/s]
2025-07-28 23:11:12,592 |   ERROR | root | nl_invalidated_0.tar:  50%|####9     | 94.4M/189M [00:01<00:00, 96.3MB/s]
2025-07-28 23:11:12,703 |   ERROR | root | nl_invalidated_0.tar:  55%|#####5    | 105M/189M [00:01<00:00, 95.8MB/s]
2025-07-28 23:11:12,811 |   ERROR | root | nl_invalidated_0.tar:  61%|######    | 115M/189M [00:01<00:00, 96.1MB/s]
2025-07-28 23:11:12,921 |   ERROR | root | nl_invalidated_0.tar:  66%|######6   | 126M/189M [00:01<00:00, 95.9MB/s]
2025-07-28 23:11:13,028 |   ERROR | root | nl_invalidated_0.tar:  72%|#######1  | 136M/189M [00:01<00:00, 96.5MB/s]
2025-07-28 23:11:13,138 |   ERROR | root | nl_invalidated_0.tar:  78%|#######7  | 147M/189M [00:01<00:00, 96.2MB/s]
2025-07-28 23:11:13,245 |   ERROR | root | nl_invalidated_0.tar:  83%|########3 | 157M/189M [00:01<00:00, 96.6MB/s]
2025-07-28 23:11:13,354 |   ERROR | root | nl_invalidated_0.tar:  89%|########8 | 168M/189M [00:01<00:00, 96.4MB/s]
2025-07-28 23:11:13,462 |   ERROR | root | nl_invalidated_0.tar:  94%|#########4| 178M/189M [00:01<00:00, 96.7MB/s]
2025-07-28 23:11:13,571 |   ERROR | root | nl_invalidated_0.tar: 100%|#########9| 189M/189M [00:01<00:00, 96.5MB/s]
2025-07-28 23:11:13,584 |   ERROR | root | nl_invalidated_0.tar: 100%|##########| 189M/189M [00:01<00:00, 94.7MB/s]
2025-07-28 23:11:13,802 |   ERROR | root | nl_validated_0.tar:   0%|          | 0.00/1.31G [00:00<?, ?B/s]
2025-07-28 23:11:13,923 |   ERROR | root | nl_validated_0.tar:   1%|          | 10.5M/1.31G [00:00<00:14, 87.1MB/s]
2025-07-28 23:11:14,044 |   ERROR | root | nl_validated_0.tar:   2%|1         | 21.0M/1.31G [00:00<00:14, 86.7MB/s]
2025-07-28 23:11:14,153 |   ERROR | root | nl_validated_0.tar:   2%|2         | 31.5M/1.31G [00:00<00:14, 91.2MB/s]
2025-07-28 23:11:14,262 |   ERROR | root | nl_validated_0.tar:   3%|3         | 41.9M/1.31G [00:00<00:13, 93.0MB/s]
2025-07-28 23:11:14,370 |   ERROR | root | nl_validated_0.tar:   4%|3         | 52.4M/1.31G [00:00<00:13, 94.4MB/s]
2025-07-28 23:11:14,479 |   ERROR | root | nl_validated_0.tar:   5%|4         | 62.9M/1.31G [00:00<00:13, 95.1MB/s]
2025-07-28 23:11:14,586 |   ERROR | root | nl_validated_0.tar:   6%|5         | 73.4M/1.31G [00:00<00:12, 95.8MB/s]
2025-07-28 23:11:14,696 |   ERROR | root | nl_validated_0.tar:   6%|6         | 83.9M/1.31G [00:00<00:12, 95.6MB/s]
2025-07-28 23:11:14,804 |   ERROR | root | nl_validated_0.tar:   7%|7         | 94.4M/1.31G [00:01<00:12, 96.1MB/s]
2025-07-28 23:11:14,916 |   ERROR | root | nl_validated_0.tar:   8%|7         | 105M/1.31G [00:01<00:12, 95.5MB/s]
2025-07-28 23:11:15,032 |   ERROR | root | nl_validated_0.tar:   9%|8         | 115M/1.31G [00:01<00:12, 93.9MB/s]
2025-07-28 23:11:15,139 |   ERROR | root | nl_validated_0.tar:  10%|9         | 126M/1.31G [00:01<00:12, 95.0MB/s]
2025-07-28 23:11:15,248 |   ERROR | root | nl_validated_0.tar:  10%|#         | 136M/1.31G [00:01<00:12, 95.3MB/s]
2025-07-28 23:11:15,366 |   ERROR | root | nl_validated_0.tar:  11%|#1        | 147M/1.31G [00:01<00:12, 93.4MB/s]
2025-07-28 23:11:15,728 |   ERROR | root | nl_validated_0.tar:  12%|#1        | 157M/1.31G [00:01<00:20, 55.9MB/s]
2025-07-28 23:11:15,839 |   ERROR | root | nl_validated_0.tar:  13%|#2        | 168M/1.31G [00:02<00:17, 63.7MB/s]
2025-07-28 23:11:15,947 |   ERROR | root | nl_validated_0.tar:  14%|#3        | 178M/1.31G [00:02<00:15, 71.1MB/s]
2025-07-28 23:11:16,057 |   ERROR | root | nl_validated_0.tar:  14%|#4        | 189M/1.31G [00:02<00:14, 77.0MB/s]
2025-07-28 23:11:16,164 |   ERROR | root | nl_validated_0.tar:  15%|#5        | 199M/1.31G [00:02<00:13, 82.3MB/s]
2025-07-28 23:11:16,274 |   ERROR | root | nl_validated_0.tar:  16%|#5        | 210M/1.31G [00:02<00:12, 85.8MB/s]
2025-07-28 23:11:16,383 |   ERROR | root | nl_validated_0.tar:  17%|#6        | 220M/1.31G [00:02<00:12, 88.6MB/s]
2025-07-28 23:11:16,491 |   ERROR | root | nl_validated_0.tar:  18%|#7        | 231M/1.31G [00:02<00:11, 91.0MB/s]
2025-07-28 23:11:16,600 |   ERROR | root | nl_validated_0.tar:  18%|#8        | 241M/1.31G [00:02<00:11, 92.5MB/s]
2025-07-28 23:11:16,708 |   ERROR | root | nl_validated_0.tar:  19%|#9        | 252M/1.31G [00:02<00:11, 93.9MB/s]
2025-07-28 23:11:16,817 |   ERROR | root | nl_validated_0.tar:  20%|#9        | 262M/1.31G [00:03<00:11, 94.6MB/s]
2025-07-28 23:11:16,924 |   ERROR | root | nl_validated_0.tar:  21%|##        | 273M/1.31G [00:03<00:10, 95.4MB/s]
2025-07-28 23:11:17,033 |   ERROR | root | nl_validated_0.tar:  22%|##1       | 283M/1.31G [00:03<00:10, 95.6MB/s]
2025-07-28 23:11:17,141 |   ERROR | root | nl_validated_0.tar:  22%|##2       | 294M/1.31G [00:03<00:10, 96.0MB/s]
2025-07-28 23:11:17,250 |   ERROR | root | nl_validated_0.tar:  23%|##3       | 304M/1.31G [00:03<00:10, 96.3MB/s]
2025-07-28 23:11:17,358 |   ERROR | root | nl_validated_0.tar:  24%|##3       | 315M/1.31G [00:03<00:10, 96.4MB/s]
2025-07-28 23:11:17,475 |   ERROR | root | nl_validated_0.tar:  25%|##4       | 325M/1.31G [00:03<00:10, 94.4MB/s]
2025-07-28 23:11:17,595 |   ERROR | root | nl_validated_0.tar:  26%|##5       | 336M/1.31G [00:03<00:10, 92.0MB/s]
2025-07-28 23:11:17,705 |   ERROR | root | nl_validated_0.tar:  26%|##6       | 346M/1.31G [00:03<00:10, 93.2MB/s]
2025-07-28 23:11:17,815 |   ERROR | root | nl_validated_0.tar:  27%|##7       | 357M/1.31G [00:04<00:10, 93.8MB/s]
2025-07-28 23:11:17,922 |   ERROR | root | nl_validated_0.tar:  28%|##7       | 367M/1.31G [00:04<00:09, 94.9MB/s]
2025-07-28 23:11:18,031 |   ERROR | root | nl_validated_0.tar:  29%|##8       | 377M/1.31G [00:04<00:09, 95.2MB/s]
2025-07-28 23:11:18,140 |   ERROR | root | nl_validated_0.tar:  30%|##9       | 388M/1.31G [00:04<00:09, 95.6MB/s]
2025-07-28 23:11:18,248 |   ERROR | root | nl_validated_0.tar:  30%|###       | 398M/1.31G [00:04<00:09, 96.0MB/s]
2025-07-28 23:11:18,358 |   ERROR | root | nl_validated_0.tar:  31%|###1      | 409M/1.31G [00:04<00:09, 96.0MB/s]
2025-07-28 23:11:18,466 |   ERROR | root | nl_validated_0.tar:  32%|###1      | 419M/1.31G [00:04<00:09, 96.3MB/s]
2025-07-28 23:11:18,574 |   ERROR | root | nl_validated_0.tar:  33%|###2      | 430M/1.31G [00:04<00:09, 96.4MB/s]
2025-07-28 23:11:18,683 |   ERROR | root | nl_validated_0.tar:  34%|###3      | 440M/1.31G [00:04<00:09, 96.5MB/s]
2025-07-28 23:11:18,791 |   ERROR | root | nl_validated_0.tar:  34%|###4      | 451M/1.31G [00:04<00:08, 96.6MB/s]
2025-07-28 23:11:18,899 |   ERROR | root | nl_validated_0.tar:  35%|###5      | 461M/1.31G [00:05<00:08, 96.6MB/s]
2025-07-28 23:11:19,008 |   ERROR | root | nl_validated_0.tar:  36%|###5      | 472M/1.31G [00:05<00:08, 96.6MB/s]
2025-07-28 23:11:19,116 |   ERROR | root | nl_validated_0.tar:  37%|###6      | 482M/1.31G [00:05<00:08, 96.7MB/s]
2025-07-28 23:11:19,241 |   ERROR | root | nl_validated_0.tar:  38%|###7      | 493M/1.31G [00:05<00:08, 92.6MB/s]
2025-07-28 23:11:19,355 |   ERROR | root | nl_validated_0.tar:  38%|###8      | 503M/1.31G [00:05<00:08, 92.4MB/s]
2025-07-28 23:11:19,469 |   ERROR | root | nl_validated_0.tar:  39%|###9      | 514M/1.31G [00:05<00:08, 92.3MB/s]
2025-07-28 23:11:19,578 |   ERROR | root | nl_validated_0.tar:  40%|###9      | 524M/1.31G [00:05<00:08, 93.3MB/s]
2025-07-28 23:11:19,686 |   ERROR | root | nl_validated_0.tar:  41%|####      | 535M/1.31G [00:05<00:08, 94.6MB/s]
2025-07-28 23:11:19,795 |   ERROR | root | nl_validated_0.tar:  42%|####1     | 545M/1.31G [00:05<00:08, 95.0MB/s]
2025-07-28 23:11:19,902 |   ERROR | root | nl_validated_0.tar:  42%|####2     | 556M/1.31G [00:06<00:07, 95.8MB/s]
2025-07-28 23:11:20,012 |   ERROR | root | nl_validated_0.tar:  43%|####3     | 566M/1.31G [00:06<00:07, 95.7MB/s]
2025-07-28 23:11:20,119 |   ERROR | root | nl_validated_0.tar:  44%|####3     | 577M/1.31G [00:06<00:07, 96.4MB/s]
2025-07-28 23:11:20,229 |   ERROR | root | nl_validated_0.tar:  45%|####4     | 587M/1.31G [00:06<00:07, 96.1MB/s]
2025-07-28 23:11:20,336 |   ERROR | root | nl_validated_0.tar:  46%|####5     | 598M/1.31G [00:06<00:07, 96.6MB/s]
2025-07-28 23:11:20,446 |   ERROR | root | nl_validated_0.tar:  46%|####6     | 608M/1.31G [00:06<00:07, 96.3MB/s]
2025-07-28 23:11:20,553 |   ERROR | root | nl_validated_0.tar:  47%|####7     | 619M/1.31G [00:06<00:07, 96.7MB/s]
2025-07-28 23:11:20,662 |   ERROR | root | nl_validated_0.tar:  48%|####7     | 629M/1.31G [00:06<00:07, 96.5MB/s]
2025-07-28 23:11:20,770 |   ERROR | root | nl_validated_0.tar:  49%|####8     | 640M/1.31G [00:06<00:06, 96.8MB/s]
2025-07-28 23:11:20,879 |   ERROR | root | nl_validated_0.tar:  49%|####9     | 650M/1.31G [00:07<00:06, 96.7MB/s]
2025-07-28 23:11:20,986 |   ERROR | root | nl_validated_0.tar:  50%|#####     | 661M/1.31G [00:07<00:06, 96.8MB/s]
2025-07-28 23:11:21,096 |   ERROR | root | nl_validated_0.tar:  51%|#####1    | 671M/1.31G [00:07<00:06, 96.6MB/s]
2025-07-28 23:11:21,216 |   ERROR | root | nl_validated_0.tar:  52%|#####1    | 682M/1.31G [00:07<00:06, 93.6MB/s]
2025-07-28 23:11:21,331 |   ERROR | root | nl_validated_0.tar:  53%|#####2    | 692M/1.31G [00:07<00:06, 92.8MB/s]
2025-07-28 23:11:21,440 |   ERROR | root | nl_validated_0.tar:  53%|#####3    | 703M/1.31G [00:07<00:06, 93.7MB/s]
2025-07-28 23:11:21,549 |   ERROR | root | nl_validated_0.tar:  54%|#####4    | 713M/1.31G [00:07<00:06, 94.7MB/s]
2025-07-28 23:11:21,657 |   ERROR | root | nl_validated_0.tar:  55%|#####5    | 724M/1.31G [00:07<00:06, 95.2MB/s]
2025-07-28 23:11:21,765 |   ERROR | root | nl_validated_0.tar:  56%|#####5    | 734M/1.31G [00:07<00:06, 95.9MB/s]
2025-07-28 23:11:21,874 |   ERROR | root | nl_validated_0.tar:  57%|#####6    | 744M/1.31G [00:08<00:05, 96.0MB/s]
2025-07-28 23:11:21,982 |   ERROR | root | nl_validated_0.tar:  57%|#####7    | 755M/1.31G [00:08<00:05, 96.3MB/s]
2025-07-28 23:11:22,090 |   ERROR | root | nl_validated_0.tar:  58%|#####8    | 765M/1.31G [00:08<00:05, 96.4MB/s]
2025-07-28 23:11:22,198 |   ERROR | root | nl_validated_0.tar:  59%|#####9    | 776M/1.31G [00:08<00:05, 96.6MB/s]
2025-07-28 23:11:22,308 |   ERROR | root | nl_validated_0.tar:  60%|#####9    | 786M/1.31G [00:08<00:05, 96.3MB/s]
2025-07-28 23:11:22,419 |   ERROR | root | nl_validated_0.tar:  61%|######    | 797M/1.31G [00:08<00:05, 95.8MB/s]
2025-07-28 23:11:22,530 |   ERROR | root | nl_validated_0.tar:  61%|######1   | 807M/1.31G [00:08<00:05, 95.3MB/s]
2025-07-28 23:11:22,642 |   ERROR | root | nl_validated_0.tar:  62%|######2   | 818M/1.31G [00:08<00:05, 94.9MB/s]
2025-07-28 23:11:22,754 |   ERROR | root | nl_validated_0.tar:  63%|######3   | 828M/1.31G [00:08<00:05, 94.5MB/s]
2025-07-28 23:11:22,870 |   ERROR | root | nl_validated_0.tar:  64%|######3   | 839M/1.31G [00:09<00:05, 93.2MB/s]
2025-07-28 23:11:22,992 |   ERROR | root | nl_validated_0.tar:  65%|######4   | 849M/1.31G [00:09<00:05, 91.1MB/s]
2025-07-28 23:11:23,110 |   ERROR | root | nl_validated_0.tar:  65%|######5   | 860M/1.31G [00:09<00:05, 90.3MB/s]
2025-07-28 23:11:23,219 |   ERROR | root | nl_validated_0.tar:  66%|######6   | 870M/1.31G [00:09<00:04, 92.0MB/s]
2025-07-28 23:11:23,328 |   ERROR | root | nl_validated_0.tar:  67%|######7   | 881M/1.31G [00:09<00:04, 93.0MB/s]
2025-07-28 23:11:23,436 |   ERROR | root | nl_validated_0.tar:  68%|######7   | 891M/1.31G [00:09<00:04, 94.4MB/s]
2025-07-28 23:11:23,545 |   ERROR | root | nl_validated_0.tar:  69%|######8   | 902M/1.31G [00:09<00:04, 94.8MB/s]
2025-07-28 23:11:23,653 |   ERROR | root | nl_validated_0.tar:  69%|######9   | 912M/1.31G [00:09<00:04, 95.6MB/s]
2025-07-28 23:11:23,763 |   ERROR | root | nl_validated_0.tar:  70%|#######   | 923M/1.31G [00:09<00:04, 95.6MB/s]
2025-07-28 23:11:23,870 |   ERROR | root | nl_validated_0.tar:  71%|#######1  | 933M/1.31G [00:10<00:03, 96.1MB/s]
2025-07-28 23:11:23,979 |   ERROR | root | nl_validated_0.tar:  72%|#######1  | 944M/1.31G [00:10<00:03, 96.1MB/s]
2025-07-28 23:11:24,087 |   ERROR | root | nl_validated_0.tar:  73%|#######2  | 954M/1.31G [00:10<00:03, 96.5MB/s]
2025-07-28 23:11:24,213 |   ERROR | root | nl_validated_0.tar:  73%|#######3  | 965M/1.31G [00:10<00:03, 92.1MB/s]
2025-07-28 23:11:24,331 |   ERROR | root | nl_validated_0.tar:  74%|#######4  | 975M/1.31G [00:10<00:03, 91.1MB/s]
2025-07-28 23:11:24,438 |   ERROR | root | nl_validated_0.tar:  75%|#######5  | 986M/1.31G [00:10<00:03, 93.0MB/s]
2025-07-28 23:11:24,551 |   ERROR | root | nl_validated_0.tar:  76%|#######5  | 996M/1.31G [00:10<00:03, 93.0MB/s]
2025-07-28 23:11:24,658 |   ERROR | root | nl_validated_0.tar:  77%|#######6  | 1.01G/1.31G [00:10<00:03, 94.3MB/s]
2025-07-28 23:11:24,768 |   ERROR | root | nl_validated_0.tar:  77%|#######7  | 1.02G/1.31G [00:10<00:03, 94.8MB/s]
2025-07-28 23:11:24,879 |   ERROR | root | nl_validated_0.tar:  78%|#######8  | 1.03G/1.31G [00:11<00:03, 94.7MB/s]
2025-07-28 23:11:25,038 |   ERROR | root | nl_validated_0.tar:  79%|#######9  | 1.04G/1.31G [00:11<00:03, 83.8MB/s]
2025-07-28 23:11:25,177 |   ERROR | root | nl_validated_0.tar:  80%|#######9  | 1.05G/1.31G [00:11<00:03, 80.9MB/s]
2025-07-28 23:11:25,285 |   ERROR | root | nl_validated_0.tar:  81%|########  | 1.06G/1.31G [00:11<00:02, 85.4MB/s]
2025-07-28 23:11:25,394 |   ERROR | root | nl_validated_0.tar:  81%|########1 | 1.07G/1.31G [00:11<00:02, 88.4MB/s]
2025-07-28 23:11:25,501 |   ERROR | root | nl_validated_0.tar:  82%|########2 | 1.08G/1.31G [00:11<00:02, 90.9MB/s]
2025-07-28 23:11:25,611 |   ERROR | root | nl_validated_0.tar:  83%|########3 | 1.09G/1.31G [00:11<00:02, 92.2MB/s]
2025-07-28 23:11:25,721 |   ERROR | root | nl_validated_0.tar:  84%|########3 | 1.10G/1.31G [00:11<00:02, 93.2MB/s]
2025-07-28 23:11:25,828 |   ERROR | root | nl_validated_0.tar:  85%|########4 | 1.11G/1.31G [00:12<00:02, 94.5MB/s]
2025-07-28 23:11:25,938 |   ERROR | root | nl_validated_0.tar:  85%|########5 | 1.12G/1.31G [00:12<00:02, 94.8MB/s]
2025-07-28 23:11:26,045 |   ERROR | root | nl_validated_0.tar:  86%|########6 | 1.13G/1.31G [00:12<00:01, 95.8MB/s]
2025-07-28 23:11:26,154 |   ERROR | root | nl_validated_0.tar:  87%|########7 | 1.14G/1.31G [00:12<00:01, 95.8MB/s]
2025-07-28 23:11:26,262 |   ERROR | root | nl_validated_0.tar:  88%|########7 | 1.15G/1.31G [00:12<00:01, 96.3MB/s]
2025-07-28 23:11:26,371 |   ERROR | root | nl_validated_0.tar:  89%|########8 | 1.16G/1.31G [00:12<00:01, 96.3MB/s]
2025-07-28 23:11:26,478 |   ERROR | root | nl_validated_0.tar:  89%|########9 | 1.17G/1.31G [00:12<00:01, 96.6MB/s]
2025-07-28 23:11:26,588 |   ERROR | root | nl_validated_0.tar:  90%|######### | 1.18G/1.31G [00:12<00:01, 96.3MB/s]
2025-07-28 23:11:26,695 |   ERROR | root | nl_validated_0.tar:  91%|#########1| 1.20G/1.31G [00:12<00:01, 96.8MB/s]
2025-07-28 23:11:26,806 |   ERROR | root | nl_validated_0.tar:  92%|#########1| 1.21G/1.31G [00:13<00:01, 96.1MB/s]
2025-07-28 23:11:26,925 |   ERROR | root | nl_validated_0.tar:  93%|#########2| 1.22G/1.31G [00:13<00:01, 93.6MB/s]
2025-07-28 23:11:27,045 |   ERROR | root | nl_validated_0.tar:  93%|#########3| 1.23G/1.31G [00:13<00:00, 91.7MB/s]
2025-07-28 23:11:27,152 |   ERROR | root | nl_validated_0.tar:  94%|#########4| 1.24G/1.31G [00:13<00:00, 93.4MB/s]
2025-07-28 23:11:27,262 |   ERROR | root | nl_validated_0.tar:  95%|#########5| 1.25G/1.31G [00:13<00:00, 94.1MB/s]
2025-07-28 23:11:27,369 |   ERROR | root | nl_validated_0.tar:  96%|#########5| 1.26G/1.31G [00:13<00:00, 95.2MB/s]
2025-07-28 23:11:27,478 |   ERROR | root | nl_validated_0.tar:  97%|#########6| 1.27G/1.31G [00:13<00:00, 95.5MB/s]
2025-07-28 23:11:27,586 |   ERROR | root | nl_validated_0.tar:  97%|#########7| 1.28G/1.31G [00:13<00:00, 96.0MB/s]
2025-07-28 23:11:27,695 |   ERROR | root | nl_validated_0.tar:  98%|#########8| 1.29G/1.31G [00:13<00:00, 96.0MB/s]
2025-07-28 23:11:27,803 |   ERROR | root | nl_validated_0.tar:  99%|#########8| 1.30G/1.31G [00:14<00:00, 96.3MB/s]
2025-07-28 23:11:27,911 |   ERROR | root | nl_validated_0.tar: 100%|#########9| 1.31G/1.31G [00:14<00:00, 96.4MB/s]
2025-07-28 23:11:27,945 |   ERROR | root | nl_validated_0.tar: 100%|##########| 1.31G/1.31G [00:14<00:00, 92.9MB/s]
2025-07-28 23:11:28,232 |   ERROR | root | nl_validated_1.tar:   0%|          | 0.00/1.25G [00:00<?, ?B/s]
2025-07-28 23:11:28,354 |   ERROR | root | nl_validated_1.tar:   1%|          | 10.5M/1.25G [00:00<00:14, 86.2MB/s]
2025-07-28 23:11:28,475 |   ERROR | root | nl_validated_1.tar:   2%|1         | 21.0M/1.25G [00:00<00:14, 86.4MB/s]
2025-07-28 23:11:28,583 |   ERROR | root | nl_validated_1.tar:   3%|2         | 31.5M/1.25G [00:00<00:13, 91.1MB/s]
2025-07-28 23:11:28,692 |   ERROR | root | nl_validated_1.tar:   3%|3         | 41.9M/1.25G [00:00<00:13, 92.8MB/s]
2025-07-28 23:11:28,800 |   ERROR | root | nl_validated_1.tar:   4%|4         | 52.4M/1.25G [00:00<00:12, 94.5MB/s]
2025-07-28 23:11:28,910 |   ERROR | root | nl_validated_1.tar:   5%|5         | 62.9M/1.25G [00:00<00:12, 94.8MB/s]
2025-07-28 23:11:29,017 |   ERROR | root | nl_validated_1.tar:   6%|5         | 73.4M/1.25G [00:00<00:12, 95.6MB/s]
2025-07-28 23:11:29,127 |   ERROR | root | nl_validated_1.tar:   7%|6         | 83.9M/1.25G [00:00<00:12, 95.6MB/s]
2025-07-28 23:11:29,234 |   ERROR | root | nl_validated_1.tar:   8%|7         | 94.4M/1.25G [00:01<00:12, 96.4MB/s]
2025-07-28 23:11:29,344 |   ERROR | root | nl_validated_1.tar:   8%|8         | 105M/1.25G [00:01<00:11, 96.1MB/s]
2025-07-28 23:11:29,452 |   ERROR | root | nl_validated_1.tar:   9%|9         | 115M/1.25G [00:01<00:11, 96.4MB/s]
2025-07-28 23:11:29,562 |   ERROR | root | nl_validated_1.tar:  10%|#         | 126M/1.25G [00:01<00:11, 96.0MB/s]
2025-07-28 23:11:29,729 |   ERROR | root | nl_validated_1.tar:  11%|#         | 136M/1.25G [00:01<00:13, 82.7MB/s]
2025-07-28 23:11:29,859 |   ERROR | root | nl_validated_1.tar:  12%|#1        | 147M/1.25G [00:01<00:13, 82.2MB/s]
2025-07-28 23:11:29,973 |   ERROR | root | nl_validated_1.tar:  13%|#2        | 157M/1.25G [00:01<00:12, 84.9MB/s]
2025-07-28 23:11:30,095 |   ERROR | root | nl_validated_1.tar:  13%|#3        | 168M/1.25G [00:01<00:12, 85.3MB/s]
2025-07-28 23:11:30,213 |   ERROR | root | nl_validated_1.tar:  14%|#4        | 178M/1.25G [00:01<00:12, 86.1MB/s]
2025-07-28 23:11:30,322 |   ERROR | root | nl_validated_1.tar:  15%|#5        | 189M/1.25G [00:02<00:11, 88.9MB/s]
2025-07-28 23:11:30,441 |   ERROR | root | nl_validated_1.tar:  16%|#5        | 199M/1.25G [00:02<00:11, 88.8MB/s]
2025-07-28 23:11:30,552 |   ERROR | root | nl_validated_1.tar:  17%|#6        | 210M/1.25G [00:02<00:11, 90.4MB/s]
2025-07-28 23:11:30,664 |   ERROR | root | nl_validated_1.tar:  18%|#7        | 220M/1.25G [00:02<00:11, 91.4MB/s]
2025-07-28 23:11:30,775 |   ERROR | root | nl_validated_1.tar:  18%|#8        | 231M/1.25G [00:02<00:11, 92.4MB/s]
2025-07-28 23:11:30,885 |   ERROR | root | nl_validated_1.tar:  19%|#9        | 241M/1.25G [00:02<00:10, 93.2MB/s]
2025-07-28 23:11:30,992 |   ERROR | root | nl_validated_1.tar:  20%|##        | 252M/1.25G [00:02<00:10, 94.5MB/s]
2025-07-28 23:11:31,102 |   ERROR | root | nl_validated_1.tar:  21%|##        | 262M/1.25G [00:02<00:10, 94.8MB/s]
2025-07-28 23:11:31,209 |   ERROR | root | nl_validated_1.tar:  22%|##1       | 273M/1.25G [00:02<00:10, 95.7MB/s]
2025-07-28 23:11:31,318 |   ERROR | root | nl_validated_1.tar:  23%|##2       | 283M/1.25G [00:03<00:10, 95.7MB/s]
2025-07-28 23:11:31,426 |   ERROR | root | nl_validated_1.tar:  23%|##3       | 294M/1.25G [00:03<00:09, 96.3MB/s]
2025-07-28 23:11:31,535 |   ERROR | root | nl_validated_1.tar:  24%|##4       | 304M/1.25G [00:03<00:09, 96.2MB/s]
2025-07-28 23:11:31,643 |   ERROR | root | nl_validated_1.tar:  25%|##5       | 315M/1.25G [00:03<00:09, 96.6MB/s]
2025-07-28 23:11:31,752 |   ERROR | root | nl_validated_1.tar:  26%|##5       | 325M/1.25G [00:03<00:09, 96.4MB/s]
2025-07-28 23:11:31,859 |   ERROR | root | nl_validated_1.tar:  27%|##6       | 336M/1.25G [00:03<00:09, 96.8MB/s]
2025-07-28 23:11:31,981 |   ERROR | root | nl_validated_1.tar:  28%|##7       | 346M/1.25G [00:03<00:09, 93.4MB/s]
2025-07-28 23:11:32,096 |   ERROR | root | nl_validated_1.tar:  28%|##8       | 357M/1.25G [00:03<00:09, 92.7MB/s]
2025-07-28 23:11:32,206 |   ERROR | root | nl_validated_1.tar:  29%|##9       | 367M/1.25G [00:03<00:09, 93.4MB/s]
2025-07-28 23:11:32,313 |   ERROR | root | nl_validated_1.tar:  30%|###       | 377M/1.25G [00:04<00:09, 94.7MB/s]
2025-07-28 23:11:32,423 |   ERROR | root | nl_validated_1.tar:  31%|###       | 388M/1.25G [00:04<00:09, 95.0MB/s]
2025-07-28 23:11:32,530 |   ERROR | root | nl_validated_1.tar:  32%|###1      | 398M/1.25G [00:04<00:08, 95.7MB/s]
2025-07-28 23:11:32,640 |   ERROR | root | nl_validated_1.tar:  33%|###2      | 409M/1.25G [00:04<00:08, 95.7MB/s]
2025-07-28 23:11:32,748 |   ERROR | root | nl_validated_1.tar:  33%|###3      | 419M/1.25G [00:04<00:08, 96.2MB/s]
2025-07-28 23:11:32,857 |   ERROR | root | nl_validated_1.tar:  34%|###4      | 430M/1.25G [00:04<00:08, 96.2MB/s]
2025-07-28 23:11:32,965 |   ERROR | root | nl_validated_1.tar:  35%|###5      | 440M/1.25G [00:04<00:08, 96.5MB/s]
2025-07-28 23:11:33,073 |   ERROR | root | nl_validated_1.tar:  36%|###5      | 451M/1.25G [00:04<00:08, 96.5MB/s]
2025-07-28 23:11:33,181 |   ERROR | root | nl_validated_1.tar:  37%|###6      | 461M/1.25G [00:04<00:08, 96.7MB/s]
2025-07-28 23:11:33,290 |   ERROR | root | nl_validated_1.tar:  38%|###7      | 472M/1.25G [00:05<00:08, 96.5MB/s]
